District,Candidate,Party,Votes
Oakleigh,"DIMOPOULOS, Steve",AUSTRALIAN LABOR PARTY,15903
Oakleigh,"ZOGRAPHOS, Theo",LIBERAL,13303
Oakleigh,"KIOUPELIS, Parashos",,260
Oakleigh,"MERRIEL, Steven",AUSTRALIAN GREENS,4617
Oakleigh,"SCOTTO, Anna",,677
Oakleigh,Informal votes,INF,1662
Ovens Valley,"McCAFFREY, Jamie",AUSTRALIAN GREENS,3694
Ovens Valley,"FIDGE, Julian",AUSTRALIAN COUNTRY ALLIANCE,3442
Ovens Valley,"CHOLOSZNECKI, Gail",AUSTRALIAN LABOR PARTY,8147
Ovens Valley,"McCURDY, Tim",THE NATIONALS,20394
Ovens Valley,"DYER, Ray",,1099
Ovens Valley,Informal votes,INF,1730
Pascoe Vale,"BROCKLEHURST, Sean",SOCIALIST ALLIANCE,1260
Pascoe Vale,"FARRELLY, Liam",AUSTRALIAN GREENS,6372
Pascoe Vale,"HA, Thomas",FAMILY FIRST,1148
Pascoe Vale,"KHOO, Jacqueline",LIBERAL,10416
Pascoe Vale,"BLANDTHORN, Lizzie",AUSTRALIAN LABOR PARTY,18679
Pascoe Vale,"TIMPANO, Francesco",,1282
Pascoe Vale,Informal votes,INF,2663
Polwarth,"MULDER, Terry",LIBERAL,21861
Polwarth,"NORTHEAST, Simon",AUSTRALIAN GREENS,4352
Polwarth,"EDGE, Philip",AUSTRALIAN COUNTRY ALLIANCE,2206
Polwarth,"COKER, Libby",AUSTRALIAN LABOR PARTY,11045
Polwarth,Informal votes,INF,1599
Prahran,"HIBBINS, Sam",AUSTRALIAN GREENS,9160
Prahran,"WALKER, Alan",FAMILY FIRST,282
Prahran,"PHARAOH, Neil",AUSTRALIAN LABOR PARTY,9586
Prahran,"GOLDSMITH, Jason Simon",,247
Prahran,"STEFANOPOULOS, Steve",,227
Prahran,"NEWTON-BROWN, Clem",LIBERAL,16582
Prahran,"GULLONE, Eleonora",ANIMAL JUSTICE PARTY,837
Prahran,"MENADUE, Alan Maxwell",,82
Prahran,Informal votes,INF,1991
Preston,"GRECO, Gaetano",,4103
Preston,"WARD, Rachel",FAMILY FIRST,1091
Preston,"LJUBICIC, Rose",AUSTRALIAN GREENS,5869
Preston,"SCOTT, Robin",AUSTRALIAN LABOR PARTY,17607
Preston,"FORSTER, John",LIBERAL,7694
Preston,Informal votes,INF,2043
Richmond,"SPIROVSKA, Nevena",SEX PARTY,1336
Richmond,"JOLLY, Stephen",,3407
Richmond,"SMITH, Miranda",ANIMAL JUSTICE PARTY,578
Richmond,"KEEL, Tom",,192
Richmond,"LU, Weiran",LIBERAL,8308
Richmond,"MALTZAHN, Kathleen",AUSTRALIAN GREENS,12615
Richmond,"WYNNE, Richard",AUSTRALIAN LABOR PARTY,13349
Richmond,"KNIGHT, Sarah",FAMILY FIRST,317
Richmond,Informal votes,INF,1550
Ringwood,"CHALLINGER, Michael",,1440
Ringwood,"RYALL, Dee",LIBERAL,17440
Ringwood,"DOBBY, Karen",AUSTRALIAN CHRISTIANS,1131
Ringwood,"POWELL, Brendan",AUSTRALIAN GREENS,3903
Ringwood,"RASKOVY, Steve",PEOPLE POWER VICTORIA/NO SMART METERS,287
Ringwood,"DUNGEY, Brian",AUSTRALIAN COUNTRY ALLIANCE,279
Ringwood,"CLARK, Tony",AUSTRALIAN LABOR PARTY,11777
Ringwood,Informal votes,INF,1643
Ripon,"TURNER, Scott",THE NATIONALS,7342
Ripon,"MULCAHY, Peter",RISE UP AUSTRALIA PARTY,448
Ripon,"McGLONE, Daniel",AUSTRALIAN LABOR PARTY,14059
Ripon,"LEE, Mitchell",DEMOCRATIC LABOUR PARTY (DLP),490
Ripon,"STALEY, Louise",LIBERAL,13118
Ripon,"LOITERTON, Kevin",AUSTRALIAN CHRISTIANS,352
Ripon,"MAY, Rod",AUSTRALIAN GREENS,2856
Ripon,"DOMASCHENZ, Trevor",AUSTRALIAN COUNTRY ALLIANCE,495
Ripon,"FOWLER, Danielle",FAMILY FIRST,897
Ripon,Informal votes,INF,2732
Rowville,"WISE, Tim",AUSTRALIAN GREENS,2566
Rowville,"PRICE, Leanne",RISE UP AUSTRALIA PARTY,1096
Rowville,"WELLS, Kim",LIBERAL,18758
Rowville,"HICKS, Tamika",AUSTRALIAN LABOR PARTY,12419
Rowville,Informal votes,INF,2042
Sandringham,"McBETH, Adam",AUSTRALIAN GREENS,5144
Sandringham,"ZIGOURAS, Christina",AUSTRALIAN LABOR PARTY,9103
Sandringham,"THOMPSON, Murray",LIBERAL,19264
Sandringham,"MARTIN, Clarke",,3840
Sandringham,Informal votes,INF,1369
Shepparton,"BOURKE, Michael",AUSTRALIAN COUNTRY ALLIANCE,3310
Shepparton,"BARR, Greg",THE NATIONALS,14272
Shepparton,"TEASDALE, Diane",,994
Shepparton,"STEVENS, Damien",AUSTRALIAN GREENS,1365
Shepparton,"SHEED, Suzanna",,13211
Shepparton,"HIGGINS, Rodney",AUSTRALIAN LABOR PARTY,7218
Shepparton,Informal votes,INF,2504
South Barwon,"ASHDOWNE, Lisa",AUSTRALIAN GREENS,5023
South Barwon,"OVEREND, Jamie",ANIMAL JUSTICE PARTY,778
South Barwon,"THOMPSON, Steven",FAMILY FIRST,769
South Barwon,"WALLIS, Nick",SEX PARTY,806
South Barwon,"CHARA, Stephen",AUSTRALIAN COUNTRY ALLIANCE,459
South Barwon,"KATOS, Andrew",LIBERAL,18869
South Barwon,"BUTLER, Kevin",DEMOCRATIC LABOUR PARTY (DLP),472
South Barwon,"RICHARDS, Andy",AUSTRALIAN LABOR PARTY,13618
South Barwon,Informal votes,INF,1659
South-West Coast,"CAMPBELL, Thomas",AUSTRALIAN GREENS,3993
South-West Coast,"McCLUSKEY, Michael",,654
South-West Coast,"MOORE, Steven",AUSTRALIAN COUNTRY ALLIANCE,945
South-West Coast,"SMITH, Linda K.",,449
South-West Coast,"REEKIE, Roy",AUSTRALIAN LABOR PARTY,11507
South-West Coast,"NAPTHINE, Denis",LIBERAL,23234
South-West Coast,Informal votes,INF,1715
St Albans,"DEEMING, Moira",LIBERAL,10215
St Albans,"BOULOS, Marvet",AUSTRALIAN CHRISTIANS,1080
St Albans,"ASBURY, Lisa",AUSTRALIAN GREENS,3475
St Albans,"SULEYMAN, Natalie",AUSTRALIAN LABOR PARTY,21435
St Albans,"KLAJN, Irena Teresa",,374
St Albans,"AUMUA, Pat",VOICE FOR THE WEST,1424
St Albans,Informal votes,INF,3228
Sunbury,"WEBB, Ella",AUSTRALIAN GREENS,2918
Sunbury,"WILLIAMS, Charles",AUSTRALIAN CHRISTIANS,802
Sunbury,"LOPEZ, Billy",,395
Sunbury,"HAGAN, Jo",LIBERAL,13384
Sunbury,"HUGHES, Vern",VOICE FOR THE WEST,384
Sunbury,"MEDCRAFT, Steve Jack",,2850
Sunbury,"BULL, Josh",AUSTRALIAN LABOR PARTY,16358
Sunbury,Informal votes,INF,2239
Sydenham,"SCHLOTZER, Alex",AUSTRALIAN GREENS,2814
Sydenham,"VARANO, John",LIBERAL,11112
Sydenham,"HUTCHINS, Natalie",AUSTRALIAN LABOR PARTY,22752
Sydenham,"CHRISTOFIDIS, Nadia",AUSTRALIAN CHRISTIANS,1225
Sydenham,"McKERRAL, Shaun",VOICE FOR THE WEST,1757
Sydenham,Informal votes,INF,2810
Tarneit,"BAGUOT, Lem",AUSTRALIAN CHRISTIANS,1603
Tarneit,"WARING, Rohan",AUSTRALIAN GREENS,3360
Tarneit,"LANGUILLER, Telmo",AUSTRALIAN LABOR PARTY,17446
Tarneit,"LOI, Chin",,491
Tarneit,"GOURISETTY, Dinesh",LIBERAL,9839
Tarneit,"GOVENDER, Seelan",FAMILY FIRST,931
Tarneit,"FRANCIS, Clement",RISE UP AUSTRALIA PARTY,657
Tarneit,"SYED, Abdul Mujeeb",VOICE FOR THE WEST,1106
Tarneit,"ALI, Safwat",,764
Tarneit,"BAUCH, Joh",,1083
Tarneit,Informal votes,INF,3276
Thomastown,"Di PALMA, Thomas",,1753
Thomastown,"HALFPENNY, Bronwyn",AUSTRALIAN LABOR PARTY,22786
Thomastown,"SCHNEIDER-JOHNSON, Trent",FAMILY FIRST,2047
Thomastown,"WILLIAMSON, Ian",AUSTRALIAN GREENS,1775
Thomastown,"GURSAHANI, Nitin",LIBERAL,5801
Thomastown,Informal votes,INF,2584
Warrandyte,"KENT, Steven",AUSTRALIAN LABOR PARTY,11289
Warrandyte,"LYON, Keith",AUSTRALIAN COUNTRY ALLIANCE,446
Warrandyte,"SMITH, Ryan",LIBERAL,21982
Warrandyte,"CRANSTON, Richard",AUSTRALIAN GREENS,4032
Warrandyte,"LEACH, David",AUSTRALIAN CHRISTIANS,887
Warrandyte,Informal votes,INF,1916
Wendouree,"HASTIE, Liam",SEX PARTY,1387
Wendouree,"KNIGHT, Sharon",AUSTRALIAN LABOR PARTY,15712
Wendouree,"O'SHEA, Sheila",RISE UP AUSTRALIA PARTY,201
Wendouree,"FENN, Cielo",FAMILY FIRST,653
Wendouree,"COLTMAN, Craig",LIBERAL,14408
Wendouree,"BARNES, Alice",AUSTRALIAN GREENS,3629
Wendouree,"BUCHHOLZ, John",AUSTRALIAN COUNTRY ALLIANCE,343
Wendouree,Informal votes,INF,1862
Werribee,"PALLAS, Tim",AUSTRALIAN LABOR PARTY,20338
Werribee,"SINGH, Tarun",LIBERAL,10327
Werribee,"SHEFFIELD-BROTHERTON, Bro",AUSTRALIAN GREENS,3049
Werribee,"TRAN, Nhan Hoang",VOICE FOR THE WEST,1045
Werribee,"OKUMU, Anne",AUSTRALIAN CHRISTIANS,1167
Werribee,Informal votes,INF,2446
Williamstown,"KREPP, Libby",VOICE FOR THE WEST,2268
Williamstown,"SHEA, Alan",LIBERAL,11569
Williamstown,"NOONAN, Wade",AUSTRALIAN LABOR PARTY,18417
Williamstown,"CRAWFORD, Simon",AUSTRALIAN GREENS,8547
Williamstown,"WEHBE, Khalil",,457
Williamstown,Informal votes,INF,2175
Yan Yean,"STEVENS, Bruce",AUSTRALIAN COUNTRY ALLIANCE,715
Yan Yean,"CLARK, Rob",SHOOTERS AND FISHERS PARTY VICTORIA,1111
Yan Yean,"SACCHERO, Daniel",AUSTRALIAN GREENS,2945
Yan Yean,"GREEN, Danielle",AUSTRALIAN LABOR PARTY,17499
Yan Yean,"OZTURK, Sam",LIBERAL,17030
Yan Yean,"ROELINK, Geraldine",RISE UP AUSTRALIA PARTY,232
Yan Yean,"BAKER, Rodney",FAMILY FIRST,1157
Yan Yean,Informal votes,INF,2188
Yuroke,"LE NEPVEU, Rodney",FAMILY FIRST,1868
Yuroke,"HIRMIZ, Imad",AUSTRALIAN CHRISTIANS,2689
Yuroke,"SPENCE, Ros",AUSTRALIAN LABOR PARTY,20484
Yuroke,"WILKINS, Mick",,1606
Yuroke,"ABBOUD, Natalie",AUSTRALIAN GREENS,2277
Yuroke,"GREWAL, Phulvinderjit",LIBERAL,8943
Yuroke,Informal votes,INF,2632
